engine_id,cycle,op_1,op_2,op_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392.0,39.06,23.419
1,2,0.0006000000000000001,-0.00035,100.0,641.985,1590.76,1401.87,554.0550000000001,2388.05,9045.130000000001,47.480000000000004,521.97,2388.045,8135.055,8.425650000000001,392.0,39.03,23.421300000000002
1,3,-0.0010333333333333334,-0.00013333333333333334,100.0,642.1066666666667,1589.8366666666668,1402.6466666666668,554.1233333333333,2388.06,9047.733333333334,47.410000000000004,522.12,2388.0400000000004,8134.446666666667,8.423033333333334,391.3333333333333,39.00333333333334,23.3956
1,4,-0.0006,-0.0001,100.0,642.1675,1588.075,1402.4524999999999,554.205,2388.0725,9048.17,47.34,522.305,2388.05,8134.2925,8.409324999999999,391.5,38.972500000000004,23.390175
1,5,-0.00086,-0.00012000000000000002,100.0,642.208,1587.03,1403.206,554.164,2388.07,9049.566,47.328,522.2819999999999,2388.048,8134.194,8.41334,391.8,38.958000000000006,23.39302
1,6,-0.0015800000000000002,-6.000000000000001e-05,100.0,642.2639999999999,1585.984,1402.76,554.226,2388.0620000000004,9050.264,47.266000000000005,522.2860000000001,2388.05,8133.039999999999,8.4116,391.6,38.942,23.382600000000004
1,7,-0.00176,1.999999999999999e-05,100.0,642.3300000000002,1586.084,1401.6860000000001,554.3439999999999,2388.058,9053.276,47.239999999999995,522.294,2388.0420000000004,8133.206,8.40472,391.6,38.962,23.373359999999998
1,8,-0.0015800000000000002,1.999999999999999e-05,100.0,642.372,1585.078,1401.0399999999997,554.2620000000001,2388.042,9050.848000000002,47.234,522.3040000000001,2388.042,8132.773999999999,8.40268,391.8,38.966,23.36664
1,9,-0.00156,3.9999999999999996e-05,100.0,642.326,1586.716,1399.626,554.11,2388.0299999999997,9050.244,47.266,522.09,2388.036,8131.146000000001,8.4036,391.8,39.0,23.37318
1,10,-0.00184,0.0001,100.0,642.1940000000001,1588.394,1398.474,554.028,2388.028,9049.554,47.215999999999994,522.01,2388.04,8130.262,8.40344,391.8,39.010000000000005,23.38618
1,11,-0.0006200000000000001,6.000000000000001e-05,100.0,642.2299999999999,1587.85,1398.928,554.0020000000001,2388.034,9049.539999999999,47.214,521.954,2388.036,8131.808,8.40808,392.0,39.001999999999995,23.40854
1,12,-0.0005000000000000002,8e-05,100.0,642.146,1586.068,1399.404,554.038,2388.0480000000002,9047.588,47.178000000000004,521.85,2388.034,8132.194,8.40736,391.8,38.994,23.40626
1,13,-0.00020000000000000017,0.0001,100.0,642.248,1585.9140000000002,1399.3760000000002,553.956,2388.072,9048.792,47.206,521.7259999999999,2388.044,8131.6,8.40888,392.2,38.986000000000004,23.399279999999997
1,14,-0.00018000000000000017,8.000000000000002e-05,100.0,642.294,1586.308,1400.248,554.114,2388.08,9048.973999999998,47.236000000000004,521.702,2388.034,8133.348000000001,8.413599999999999,392.4,39.012,23.394479999999998
1,15,0.00011999999999999988,1.0842021724855045e-20,100.0,642.4379999999999,1584.824,1400.582,554.124,2388.092,9049.078,47.29,521.8439999999999,2388.038,8132.9839999999995,8.41186,392.0,39.019999999999996,23.370600000000003
